period,max_z_change,threshold
30,29.68986234789574,1200
90,83.98485468356446,1200
151,133.8994937983367,1200
211,180.50057898965142,1200
272,224.24705950781257,1200
332,264.30486736032765,1200
393,303.8394435206859,1200
453,339.2534193409476,1200
514,370.7032184500849,1200
574,400.15612688047656,1200
635,429.74598355812964,1200
695,456.229737765516,1200
756,482.5520011355618,1200
816,505.54721922290787,1200
877,528.4189488606916,1200
937,549.6405621242246,1200
998,568.8448450115399,1200
1058,587.6920234628377,1200
1119,605.6001540936245,1200
1179,621.1793807691753,1200
1240,638.1007972154467,1200
1300,652.7146862833386,1200
1361,667.3037074157221,1200
1421,680.7898169375137,1200
1482,693.5792844614987,1200
1542,705.6022224446124,1200
1603,716.7983059722858,1200
1663,727.1002408755479,1200
1724,737.0819105767673,1200
1784,746.8978865784794,1200
1845,756.1408650805275,1200
1905,764.9471517807389,1200
1966,773.2280961145226,1200
2026,781.4917994473153,1200
2087,788.7291366499658,1200
2147,795.599563588032,1200
2208,801.5398971591233,1200
2268,807.3430831199146,1200
2329,812.7283092843254,1200
2389,818.27140138651,1200
2450,823.467069975492,1200
2510,828.4188515057858,1200
2571,833.338379461836,1200
2631,838.0656294949915,1200
2692,842.2972899037852,1200
2752,846.5899304612185,1200
2813,850.3965485372789,1200
2873,854.5385817760089,1200
2934,858.4676582704519,1200
2994,861.804723854261,1200
3055,865.3700654105792,1200
3115,868.7332971454994,1200
3176,872.516397077685,1200
3236,875.4419616151931,1200
3297,878.4933673751677,1200
3357,881.8226645259465,1200
3418,884.0827502554293,1200
3478,886.6350706587107,1200
3539,889.7590724293325,1200
3600,892.4204270070218,1200
30,24.350258282243942,1000
90,70.35021695806108,1000
151,112.39901127385076,1000
211,151.14466950463725,1000
272,186.8966842823579,1000
332,220.16331535623925,1000
393,252.9236430972934,1000
453,281.9791875992966,1000
514,310.67148318978224,1000
574,336.52945640640763,1000
635,361.8996195397038,1000
695,384.3047447103135,1000
756,406.94676009862036,1000
816,426.882564354149,1000
877,445.75264058414024,1000
937,464.3058099135371,1000
998,481.77666751458537,1000
1058,497.1687151367658,1000
1119,513.3033671586138,1000
1179,527.587788063222,1000
1240,542.1798567232358,1000
1300,555.2029141612204,1000
1361,567.602206998655,1000
1421,578.8927814552201,1000
1482,589.9659016346363,1000
1542,600.470517826562,1000
1603,610.3740219716849,1000
1663,619.5565541923097,1000
1724,628.6717951630033,1000
1784,636.9553921856452,1000
1845,645.4758964201546,1000
1905,653.4335896841428,1000
1966,660.6093649725256,1000
2026,666.5889946392297,1000
2087,672.7467287559039,1000
2147,678.2168228308278,1000
2208,683.7889989190787,1000
2268,689.1397349785032,1000
2329,694.4366191228964,1000
2389,699.0655168365502,1000
2450,704.0182654829057,1000
2510,708.599965055035,1000
2571,712.7993176391647,1000
2631,716.5412372029627,1000
2692,720.7534904975557,1000
2752,724.6578063391846,1000
2813,728.6616700395693,1000
2873,731.8979547504268,1000
2934,735.6352600715131,1000
2994,738.7874522591369,1000
3055,742.2967614446784,1000
3115,744.994183028178,1000
3176,748.0493553154922,1000
3236,751.1409537003385,1000
3297,754.1358394719418,1000
3357,756.524616378862,1000
3418,759.2706020707074,1000
